data,preco,^GSPC
2025-09-08,600209.3721858402,6495.14990234375
2025-09-08,602196.5118692343,6495.14990234375
2025-09-08,600640.6852242795,6495.14990234375
2025-09-08,600577.8016114577,6495.14990234375
2025-09-08,601844.3561957905,6495.14990234375
2025-09-08,603297.4471411596,6495.14990234375
2025-09-08,605393.5534816133,6495.14990234375
2025-09-08,606234.5601526587,6495.14990234375
2025-09-08,606103.3682370494,6495.14990234375
2025-09-08,606709.5651571106,6495.14990234375
2025-09-08,606276.3103612938,6495.14990234375
2025-09-08,608150.9287276004,6495.14990234375
2025-09-08,611637.2230945075,6495.14990234375
2025-09-08,611438.1522211956,6495.14990234375
2025-09-08,611004.0910578278,6495.14990234375
2025-09-08,609428.6101515167,6495.14990234375
